,State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder,poverty_proportion
0,AL,1,190,alabaster city school district,32139,6502,974,0.14980006151953246
1,AL,1,5,albertville city school district,21494,4022,1581,0.3930880159124813
2,AL,1,30,alexander city city school district,17276,2673,961,0.35952113729891505
3,AL,1,60,andalusia city school district,9051,1516,492,0.3245382585751979
4,AL,1,90,anniston city school district,22599,3289,1058,0.32167832167832167
5,AL,1,100,arab city school district,8227,1495,277,0.18528428093645485
6,AL,1,120,athens city school district,24008,3885,714,0.1837837837837838
7,AL,1,180,attalla city school district,5996,957,298,0.3113897596656217
8,AL,1,210,auburn city school district,58705,7119,1283,0.1802219412838882
9,AL,1,240,autauga county school district,55395,10622,1832,0.17247222745245716
10,AL,1,270,baldwin county school district,200111,33171,6118,0.18443821410268005
11,AL,1,300,barbour county school district,14026,1782,686,0.38496071829405165
12,AL,1,330,bessemer city school district,27565,4767,2227,0.4671701279630795
13,AL,1,360,bibb county school district,22506,3528,866,0.24546485260770975
14,AL,1,390,birmingham city school district,213072,30731,14908,0.4851127525950994
15,AL,1,420,blount county school district,51111,9067,2023,0.2231167971765744
16,AL,1,12,boaz city school district,9603,1743,479,0.2748135398737808
17,AL,1,450,brewton city school district,5318,867,271,0.31257208765859285
18,AL,1,480,bullock county school district,10764,1629,649,0.3984039287906691
19,AL,1,510,butler county school district,20296,3551,1235,0.34778935511123626
20,AL,1,540,calhoun county school district,56104,9901,2031,0.20513079486920513
21,AL,1,600,chambers county school district,27626,4293,1175,0.27370137433030517
22,AL,1,630,cherokee county school district,26037,4053,1019,0.2514187021959043
23,AL,1,188,chickasaw city school district,6135,1027,473,0.4605647517039922
24,AL,1,660,chilton county school district,43931,7812,2070,0.26497695852534564
25,AL,1,690,choctaw county school district,13323,2084,592,0.2840690978886756
26,AL,1,720,clarke county school district,19257,3265,1090,0.333843797856049
27,AL,1,750,clay county school district,13552,2204,581,0.2636116152450091
28,AL,1,780,cleburne county school district,14715,2586,589,0.22776488785769528
29,AL,1,810,coffee county school district,18985,3339,661,0.19796346211440552
30,AL,1,840,colbert county school district,23772,3752,984,0.2622601279317697
31,AL,1,870,conecuh county school district,12670,2013,752,0.37357178340784897
32,AL,1,900,coosa county school district,10886,1472,401,0.27241847826086957
33,AL,1,930,covington county school district,22179,3515,820,0.2332859174964438
34,AL,1,960,crenshaw county school district,13977,2311,610,0.26395499783643445
35,AL,1,990,cullman city school district,14827,2323,644,0.27722772277227725
36,AL,1,1020,cullman county school district,66435,11160,2246,0.20125448028673834
37,AL,1,1050,dale county school district,15018,2530,736,0.2909090909090909
38,AL,1,1080,daleville city school district,11330,1875,718,0.38293333333333335
39,AL,1,1110,dallas county school district,21954,4010,1603,0.3997506234413965
40,AL,1,1140,dekalb county school district,56962,10584,3714,0.35090702947845803
41,AL,1,1170,decatur city school district,55768,9347,2690,0.2877928747191612
42,AL,1,1200,demopolis city school district,7156,1254,417,0.33253588516746413
43,AL,1,1230,dothan city school district,67583,11603,3601,0.3103507713522365
44,AL,1,1260,elba city school district,5279,839,307,0.36591179976162097
45,AL,1,1290,elmore county school district,73681,12529,2390,0.19075744273285977
46,AL,1,1320,enterprise city school district,27111,4866,1182,0.24290998766954378
47,AL,1,1350,escambia county school district,32415,5152,1590,0.30861801242236025
48,AL,1,1380,etowah county school district,59873,10123,2030,0.20053343870394152
49,AL,1,1410,eufaula city school district,12861,2385,835,0.350104821802935
50,AL,1,1440,fairfield city school district,11158,1893,741,0.39144215530903326
51,AL,1,1470,fayette county school district,15597,2537,665,0.26212061489948757
52,AL,1,1530,florence city school district,39503,5374,1668,0.31038332713062894
53,AL,1,1560,fort payne city school district,14103,2568,1000,0.3894080996884735
54,AL,1,1,fort rucker school district,4576,931,135,0.14500537056928034
55,AL,1,1590,franklin county school district,21799,3825,1157,0.302483660130719
56,AL,1,1620,gadsden city school district,36563,5595,2129,0.3805183199285076
57,AL,1,1640,geneva city school district,6271,996,333,0.33433734939759036
58,AL,1,1660,geneva county school district,20441,3381,1176,0.34782608695652173
59,AL,1,1680,greene county school district,8553,1488,638,0.42876344086021506
60,AL,1,1690,guntersville city school district,8339,1308,383,0.29281345565749234
61,AL,1,1710,hale county school district,15184,2604,914,0.3509984639016897
62,AL,1,1720,haleyville city school district,8530,1383,406,0.2935647143890094
63,AL,1,1730,hartselle city school district,13866,2539,367,0.14454509649468295
64,AL,1,1740,henry county school district,17183,2707,700,0.25858884373845586
65,AL,1,1760,homewood city school district,25258,3837,566,0.14751107636174093
66,AL,1,7,hoover city school district,82545,14816,1628,0.10988120950323974
67,AL,1,1770,houston county school district,37815,6854,1809,0.2639334695068573
68,AL,1,1800,huntsville city school district,181441,26568,6696,0.25203252032520324
69,AL,1,1830,jackson county school district,38052,6320,1768,0.27974683544303797
70,AL,1,1860,jacksonville city school district,12273,1557,526,0.3378291586384072
71,AL,1,1890,jasper city school district,14053,2151,658,0.30590423059042304
72,AL,1,1920,jefferson county school district,231646,39176,8603,0.21959873391872575
73,AL,1,1950,lamar county school district,14086,2351,596,0.2535091450446618
74,AL,1,1980,lanett city school district,6450,967,387,0.40020682523267836
75,AL,1,2010,lauderdale county school district,53593,8848,1570,0.17744122965641954
76,AL,1,2040,lawrence county school district,33477,5485,1162,0.21185050136736555
77,AL,1,2070,lee county school district,61928,11369,2710,0.23836749054446302
78,AL,1,11,leeds city school district,11883,1746,502,0.28751431844215347
79,AL,1,2100,limestone county school district,62899,10935,1886,0.17247370827617742
80,AL,1,2130,linden city school district,4509,659,205,0.3110773899848255
81,AL,1,2160,lowndes county school district,10580,1735,694,0.4
82,AL,1,2190,macon county school district,19425,2638,1114,0.422289613343442
83,AL,1,8,madison city school district,45100,9583,956,0.09975999165188354
84,AL,1,2220,madison county school district,127546,23129,3057,0.1321717324570885
85,AL,1,2250,marengo county school district,8445,1503,445,0.29607451763140386
86,AL,1,2310,marion county school district,24465,3861,1000,0.259000259000259
87,AL,1,6,marshall county school district,48099,8633,2278,0.26387119193791264
88,AL,1,3,maxwell afb school district,2479,252,40,0.15873015873015872
89,AL,1,2350,midfield city school district,5383,1116,454,0.4068100358422939
90,AL,1,2370,mobile county school district,389302,67912,19511,0.28729826834727296
91,AL,1,2400,monroe county school district,21947,3932,1202,0.3056968463886063
92,AL,1,2430,montgomery county school district,223710,38652,11222,0.29033426472110113
93,AL,1,2480,morgan county school district,50065,8546,1626,0.1902644512052422
94,AL,1,2490,mountain brook city school district,20560,4734,310,0.0654837346852556
95,AL,1,2520,muscle shoals city school district,13119,2301,372,0.16166883963494133
96,AL,1,2550,oneonta city school district,6608,1027,225,0.21908471275559882
97,AL,1,2580,opelika city school district,29054,4971,1870,0.376181854757594
98,AL,1,2610,opp city school district,6684,1125,448,0.3982222222222222
99,AL,1,2635,oxford city school district,22845,4151,946,0.2278968923151048
100,AL,1,2640,ozark city school district,16896,2915,958,0.32864493996569466
101,AL,1,2650,pell city city school district,28741,4866,894,0.18372379778051787
102,AL,1,2670,perry county school district,9826,1662,957,0.575812274368231
103,AL,1,2700,phenix city city school district,36895,6745,2038,0.3021497405485545
104,AL,1,2730,pickens county school district,20365,3120,1013,0.3246794871794872
105,AL,1,2760,piedmont city school district,6538,1105,339,0.3067873303167421
106,AL,1,2790,pike county school district,14938,2327,804,0.345509239363988
107,AL,1,2820,randolph county school district,16564,2609,735,0.28171713300114987
108,AL,1,2850,roanoke city school district,5975,1077,305,0.28319405756731664
109,AL,1,2880,russell county school district,27281,4643,1201,0.25866896403187595
110,AL,1,2910,russellville city school district,9802,1775,808,0.4552112676056338
111,AL,1,185,saraland city school district,13488,2199,409,0.18599363346975897
